City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,blackmans bay,-43.0167,147.3167,280.11,87,16,0.45,AU,1697570457
1,prado,-17.3411,-39.2208,299.25,69,0,5.35,BR,1697570457
2,port-aux-francais,-49.35,70.2167,275.32,74,95,8.36,TF,1697570457
3,whitehorse,60.7161,-135.0538,281.58,82,75,2.57,CA,1697570351
4,hithadhoo,-0.6,73.0833,300.6,76,8,6.49,MV,1697570457
5,anadyr,64.75,177.4833,267.43,100,40,5.0,RU,1697570458
6,tannum sands,-23.9504,151.3693,292.09,68,12,2.57,AU,1697570458
7,mapimi,25.8167,-103.85,295.81,30,0,2.96,MX,1697570458
8,vorgashor,67.5833,63.95,274.71,92,100,2.62,RU,1697570458
9,argo,37.6333,22.7333,291.92,85,34,2.26,GR,1697570458
10,strelka,58.0728,93.0344,277.08,94,36,1.61,RU,1697570398
11,georgetown,5.4112,100.3354,299.27,91,20,2.06,MY,1697570167
12,touros,-5.1989,-35.4608,300.37,64,100,8.27,BR,1697570295
13,hamilton,39.1834,-84.5333,287.92,68,100,4.63,US,1697570459
14,didim,37.3756,27.2678,292.93,70,98,2.57,TR,1697570459
15,susuman,62.7833,148.1667,252.18,85,9,0.88,RU,1697570459
16,st. john's,47.5649,-52.7093,280.75,85,75,5.14,CA,1697570216
17,sungai penuh,-2.0833,101.3833,292.65,91,100,0.36,ID,1697570459
18,zima,53.9202,102.0442,276.68,83,100,6.7,RU,1697570459
19,bethel,41.3712,-73.414,290.18,62,75,2.06,US,1697570162
20,iqaluit,63.7506,-68.5145,272.0,54,100,3.09,CA,1697570460
21,andalgala,-27.5819,-66.3165,297.72,38,46,4.82,AR,1697570460
22,adamstown,-25.066,-130.1015,295.2,88,100,3.98,PN,1697570460
23,college,64.8569,-147.8028,274.86,85,75,0.89,US,1697570460
24,rio tuba,8.5061,117.4317,300.85,82,57,3.6,PH,1697570460
25,jiuquan,39.7432,98.5174,278.59,69,100,7.0,CN,1697570460
26,avarua,-21.2078,-159.775,296.18,73,49,4.12,CK,1697570460
27,chonchi,-42.6128,-73.8092,288.71,48,26,3.02,CL,1697570191
28,ushuaia,-54.8,-68.3,286.96,65,0,5.14,AR,1697570461
29,west island,-12.1568,96.8225,299.14,89,75,6.69,CC,1697570461
30,olonkinbyen,70.9221,-8.7187,273.08,76,100,3.01,SJ,1697570461
31,klyuchi,52.2667,79.1667,282.53,59,76,3.34,RU,1697570461
32,ribeira grande,38.5167,-28.7,294.69,88,75,6.17,PT,1697570461
33,preobrazheniye,42.9019,133.9064,282.84,51,23,3.58,RU,1697570461
34,condom,43.9167,0.3333,294.07,81,43,8.11,FR,1697570462
35,yellowknife,62.456,-114.3525,274.44,100,100,1.03,CA,1697570462
36,kas,36.2018,29.6377,294.9,64,100,2.97,TR,1697570462
